employee_id,gender,province,reporting_period_start,reporting_period_end,hours_worked,ordinary_pay,special_salary,overtime_hours,overtime_pay,bonus_pay
EMP001,Woman,BC,2025-01-01,2025-12-31,1980,78000,0,24,1418.18,2500
EMP002,Man,BC,2025-01-01,2025-12-31,2010,82000,0,18,1102.74,3000
EMP003,"Non-binary, Two-Spirit, gender diverse",BC,2025-01-01,2025-12-31,1880,76000,0,0,0,2000
EMP004,Prefer not to answer / Unknown,BC,2025-01-01,2025-12-31,1600,60000,0,0,0,0
EMP005,Woman,BC,2025-01-01,2025-12-31,1905,72000,500,10,567.80,0
EMP006,Man,BC,2025-01-01,2025-12-31,1750,69000,0,0,0,1500
EMP007,Woman,BC,2025-01-01,2025-12-31,2000,90000,0,12,810.00,6000
EMP008,Man,BC,2025-01-01,2025-12-31,1820,58000,0,40,1912.09,0
EMP009,Woman,BC,2025-01-01,2025-12-31,1990,64000,0,0,0,1200
EMP010,Man,BC,2025-01-01,2025-12-31,1780,72000,0,20,1213.48,2500
EMP011,Woman,BC,2025-01-01,2025-12-31,1850,61000,0,0,0,0
EMP012,Man,BC,2025-01-01,2025-12-31,1920,95000,0,8,593.75,9500
