employee_id,gender,province,reporting_period_start,reporting_period_end,hours_worked,ordinary_pay,special_salary,overtime_hours,overtime_pay,bonus_pay
EMP001,Woman,BC,2025-01-01,2025-12-31,1775.0,104689.0,3050.0,0.0,0.0,0.0
EMP002,Woman,BC,2025-01-01,2025-12-31,1998.0,57583.0,0.0,34.0,1469.84,0.0
EMP003,Woman,BC,2025-01-01,2025-12-31,1668.0,78468.0,0.0,0.0,0.0,0.0
EMP004,Woman,BC,2025-01-01,2025-12-31,1791.0,80925.0,0.0,56.0,3795.48,0.0
EMP005,Woman,BC,2025-01-01,2025-12-31,2048.0,83962.0,0.0,0.0,0.0,0.0
EMP006,Woman,BC,2025-01-01,2025-12-31,1737.0,71215.0,0.0,0.0,0.0,0.0
EMP007,Woman,BC,2025-01-01,2025-12-31,2000.0,61047.0,0.0,0.0,0.0,0.0
EMP008,Woman,BC,2025-01-01,2025-12-31,1833.0,68760.0,592.0,44.0,2475.81,0.0
EMP009,Woman,BC,2025-01-01,2025-12-31,1667.0,76723.0,0.0,0.0,0.0,0.0
EMP010,Woman,BC,2025-01-01,2025-12-31,1929.0,60085.0,0.0,0.0,0.0,6751.0
EMP011,Woman,BC,2025-01-01,2025-12-31,1803.0,63239.0,0.0,49.0,2577.96,0.0
EMP012,Woman,BC,2025-01-01,2025-12-31,1923.0,92486.0,0.0,0.0,0.0,0.0
EMP013,Man,BC,2025-01-01,2025-12-31,1899.0,60594.0,4138.0,0.0,0.0,0.0
EMP014,Man,BC,2025-01-01,2025-12-31,1639.0,56155.0,0.0,0.0,0.0,0.0
EMP015,Man,BC,2025-01-01,2025-12-31,1973.0,57758.0,0.0,0.0,0.0,0.0
