employee_id,gender,province,reporting_period_start,reporting_period_end,hours_worked,ordinary_pay,special_salary,overtime_hours,overtime_pay,bonus_pay
EMP0001,Woman,BC,2025-01-01,2025-12-31,1856.0,91387.77,0.0,0.0,0.0,9888.65
EMP0002,Woman,BC,2025-01-01,2025-12-31,1992.0,67929.2,0.0,110.0,5626.67,0.0
EMP0003,Woman,BC,2025-01-01,2025-12-31,1983.0,101798.92,2817.0,0.0,0.0,0.0
EMP0004,Woman,BC,2025-01-01,2025-12-31,2014.0,89511.18,0.0,0.0,0.0,0.0
EMP0005,Woman,BC,2025-01-01,2025-12-31,1865.0,84402.12,0.0,55.0,3733.61,5080.65
EMP0006,Woman,BC,2025-01-01,2025-12-31,1337.0,33242.14,0.0,108.0,4027.84,0.0
EMP0007,Woman,BC,2025-01-01,2025-12-31,1410.0,36347.53,0.0,97.0,3750.76,0.0
EMP0008,Woman,BC,2025-01-01,2025-12-31,1839.0,101145.16,0.0,0.0,0.0,11509.01
EMP0009,Woman,BC,2025-01-01,2025-12-31,1298.0,41124.62,0.0,22.0,1045.54,0.0
EMP0010,Woman,BC,2025-01-01,2025-12-31,1155.0,49103.25,0.0,0.0,0.0,0.0
EMP0011,Woman,BC,2025-01-01,2025-12-31,1793.0,129995.44,0.0,85.0,9243.96,10822.58
EMP0012,Woman,BC,2025-01-01,2025-12-31,1851.0,74979.98,0.0,0.0,0.0,4935.13
EMP0013,Woman,BC,2025-01-01,2025-12-31,2060.0,106215.88,0.0,0.0,0.0,3450.69
EMP0014,Woman,BC,2025-01-01,2025-12-31,1819.0,42000.0,0.0,89.0,3082.46,0.0
EMP0015,Woman,BC,2025-01-01,2025-12-31,1976.0,76814.18,0.0,0.0,0.0,0.0
EMP0016,Woman,BC,2025-01-01,2025-12-31,1963.0,66090.83,0.0,0.0,0.0,5484.77
EMP0017,Woman,BC,2025-01-01,2025-12-31,1903.0,119071.6,0.0,0.0,0.0,6492.89
EMP0018,Woman,BC,2025-01-01,2025-12-31,2018.0,121139.36,0.0,0.0,0.0,3179.59
EMP0019,Woman,BC,2025-01-01,2025-12-31,2046.0,71299.21,0.0,0.0,0.0,0.0
EMP0020,Woman,BC,2025-01-01,2025-12-31,1954.0,75091.03,0.0,0.0,0.0,0.0
EMP0021,Woman,BC,2025-01-01,2025-12-31,2026.0,117968.88,0.0,0.0,0.0,0.0
EMP0022,Woman,BC,2025-01-01,2025-12-31,1792.0,83983.31,0.0,13.0,913.88,0.0
EMP0023,Woman,BC,2025-01-01,2025-12-31,2014.0,49072.1,0.0,55.0,2010.15,0.0
EMP0024,Woman,BC,2025-01-01,2025-12-31,1848.0,87651.07,0.0,0.0,0.0,0.0
EMP0025,Woman,BC,2025-01-01,2025-12-31,2007.0,93346.56,0.0,0.0,0.0,0.0
EMP0026,Woman,BC,2025-01-01,2025-12-31,1956.0,129557.41,0.0,0.0,0.0,9061.17
EMP0027,Woman,BC,2025-01-01,2025-12-31,1790.0,102446.16,0.0,0.0,0.0,0.0
EMP0028,Woman,BC,2025-01-01,2025-12-31,1903.0,84083.62,0.0,89.0,5898.67,0.0
EMP0029,Woman,BC,2025-01-01,2025-12-31,2018.0,59559.56,0.0,0.0,0.0,0.0
EMP0030,Woman,BC,2025-01-01,2025-12-31,1970.0,75181.96,0.0,0.0,0.0,0.0
EMP0031,Woman,BC,2025-01-01,2025-12-31,1581.0,35770.75,0.0,95.0,3224.12,0.0
EMP0032,Woman,BC,2025-01-01,2025-12-31,1400.0,54206.94,0.0,87.0,5052.86,0.0
EMP0033,Woman,BC,2025-01-01,2025-12-31,1838.0,63231.96,0.0,0.0,0.0,3596.04
EMP0034,Woman,BC,2025-01-01,2025-12-31,977.0,51292.02,0.0,0.0,0.0,0.0
EMP0035,Woman,BC,2025-01-01,2025-12-31,827.0,50394.53,0.0,24.0,2193.72,0.0
EMP0036,Woman,BC,2025-01-01,2025-12-31,1807.0,86474.71,0.0,0.0,0.0,6564.45
EMP0037,Woman,BC,2025-01-01,2025-12-31,1198.0,51797.02,0.0,0.0,0.0,0.0
EMP0038,Woman,BC,2025-01-01,2025-12-31,2050.0,77898.05,0.0,0.0,0.0,0.0
EMP0039,Woman,BC,2025-01-01,2025-12-31,1547.0,29570.89,0.0,27.0,774.16,2049.55
EMP0040,Woman,BC,2025-01-01,2025-12-31,1864.0,111913.83,0.0,0.0,0.0,0.0
EMP0041,Woman,BC,2025-01-01,2025-12-31,1985.0,70906.37,3975.0,0.0,0.0,0.0
EMP0042,Woman,BC,2025-01-01,2025-12-31,1792.0,63137.78,0.0,0.0,0.0,5870.22
EMP0043,Woman,BC,2025-01-01,2025-12-31,1981.0,57060.61,0.0,120.0,5184.71,0.0
EMP0044,Woman,BC,2025-01-01,2025-12-31,2056.0,103759.34,0.0,0.0,0.0,0.0
EMP0045,Woman,BC,2025-01-01,2025-12-31,1944.0,61783.47,0.0,0.0,0.0,0.0
EMP0046,Woman,BC,2025-01-01,2025-12-31,1885.0,98977.62,0.0,0.0,0.0,0.0
EMP0047,Woman,BC,2025-01-01,2025-12-31,1253.0,24978.48,0.0,0.0,0.0,1183.78
EMP0048,Woman,BC,2025-01-01,2025-12-31,1918.0,75098.9,0.0,0.0,0.0,0.0
EMP0049,Woman,BC,2025-01-01,2025-12-31,2009.0,124903.73,0.0,32.0,2984.26,0.0
EMP0050,Woman,BC,2025-01-01,2025-12-31,1802.0,89463.65,0.0,74.0,5510.8,0.0
EMP0051,Woman,BC,2025-01-01,2025-12-31,2061.0,68637.32,0.0,0.0,0.0,0.0
EMP0052,Woman,BC,2025-01-01,2025-12-31,2014.0,73331.24,0.0,0.0,0.0,0.0
EMP0053,Woman,BC,2025-01-01,2025-12-31,1145.0,46853.81,0.0,0.0,0.0,0.0
EMP0054,Woman,BC,2025-01-01,2025-12-31,2050.0,66102.84,0.0,0.0,0.0,6690.86
EMP0055,Woman,BC,2025-01-01,2025-12-31,811.0,58275.89,0.0,0.0,0.0,0.0
EMP0056,Woman,BC,2025-01-01,2025-12-31,2057.0,87904.77,0.0,0.0,0.0,3225.56
EMP0057,Woman,BC,2025-01-01,2025-12-31,1866.0,82159.73,0.0,0.0,0.0,8826.56
EMP0058,Woman,BC,2025-01-01,2025-12-31,1947.0,100364.62,0.0,23.0,1778.42,8184.75
EMP0059,Woman,BC,2025-01-01,2025-12-31,1828.0,60694.05,0.0,0.0,0.0,0.0
EMP0060,Woman,BC,2025-01-01,2025-12-31,1995.0,80227.64,0.0,0.0,0.0,0.0
EMP0061,Woman,BC,2025-01-01,2025-12-31,1841.0,42000.0,0.0,64.0,2190.11,0.0
EMP0062,Woman,BC,2025-01-01,2025-12-31,1924.0,70976.98,0.0,0.0,0.0,4517.39
EMP0063,Woman,BC,2025-01-01,2025-12-31,1872.0,69070.65,0.0,0.0,0.0,3857.72
EMP0064,Woman,BC,2025-01-01,2025-12-31,2011.0,86810.82,0.0,94.0,6086.69,6784.23
EMP0065,Woman,BC,2025-01-01,2025-12-31,1991.0,74383.59,0.0,75.0,4202.99,0.0
EMP0066,Woman,BC,2025-01-01,2025-12-31,2008.0,107467.73,0.0,112.0,8991.32,0.0
EMP0067,Woman,BC,2025-01-01,2025-12-31,2059.0,82653.18,0.0,42.0,2528.97,0.0
EMP0068,Woman,BC,2025-01-01,2025-12-31,1971.0,50463.99,4433.0,0.0,0.0,0.0
EMP0069,Woman,BC,2025-01-01,2025-12-31,1854.0,47282.91,0.0,94.0,3595.95,3099.61
EMP0070,Woman,BC,2025-01-01,2025-12-31,1085.0,46446.22,0.0,0.0,0.0,0.0
EMP0071,Woman,BC,2025-01-01,2025-12-31,2027.0,55271.59,0.0,0.0,0.0,0.0
EMP0072,Woman,BC,2025-01-01,2025-12-31,1954.0,85244.54,0.0,95.0,6216.66,0.0
EMP0073,Woman,BC,2025-01-01,2025-12-31,1820.0,71502.65,0.0,0.0,0.0,0.0
EMP0074,Woman,BC,2025-01-01,2025-12-31,1811.0,112575.61,0.0,0.0,0.0,8410.27
EMP0075,Woman,BC,2025-01-01,2025-12-31,1981.0,59071.89,0.0,102.0,4562.34,0.0
EMP0076,Woman,BC,2025-01-01,2025-12-31,1784.0,112083.44,0.0,0.0,0.0,0.0
EMP0077,Woman,BC,2025-01-01,2025-12-31,1944.0,57398.7,0.0,0.0,0.0,0.0
EMP0078,Woman,BC,2025-01-01,2025-12-31,1903.0,86977.53,0.0,0.0,0.0,0.0
EMP0079,Woman,BC,2025-01-01,2025-12-31,1264.0,45312.28,0.0,57.0,3065.03,0.0
EMP0080,Woman,BC,2025-01-01,2025-12-31,2043.0,87053.19,0.0,0.0,0.0,0.0
EMP0081,Woman,BC,2025-01-01,2025-12-31,1839.0,137080.54,0.0,21.0,2348.04,11012.83
EMP0082,Woman,BC,2025-01-01,2025-12-31,2029.0,75068.1,0.0,0.0,0.0,3880.33
EMP0083,Woman,BC,2025-01-01,2025-12-31,1915.0,115142.85,0.0,0.0,0.0,0.0
EMP0084,Woman,BC,2025-01-01,2025-12-31,1840.0,56344.4,0.0,0.0,0.0,0.0
EMP0085,Woman,BC,2025-01-01,2025-12-31,1858.0,115974.12,0.0,0.0,0.0,5772.06
EMP0086,Woman,BC,2025-01-01,2025-12-31,1967.0,64866.47,0.0,49.0,2423.84,4568.59
EMP0087,Woman,BC,2025-01-01,2025-12-31,1806.0,101810.32,0.0,0.0,0.0,7037.77
EMP0088,Woman,BC,2025-01-01,2025-12-31,1867.0,95456.13,0.0,0.0,0.0,0.0
EMP0089,Woman,BC,2025-01-01,2025-12-31,2061.0,106557.59,0.0,0.0,0.0,4328.4
EMP0090,Woman,BC,2025-01-01,2025-12-31,1996.0,90941.82,0.0,0.0,0.0,10283.14
EMP0091,Woman,BC,2025-01-01,2025-12-31,1826.0,92481.4,0.0,0.0,0.0,0.0
EMP0092,Woman,BC,2025-01-01,2025-12-31,2000.0,72291.03,0.0,28.0,1518.11,0.0
EMP0093,Woman,BC,2025-01-01,2025-12-31,1862.0,107368.19,0.0,0.0,0.0,8347.64
EMP0094,Woman,BC,2025-01-01,2025-12-31,1889.0,92947.07,0.0,0.0,0.0,2372.09
EMP0095,Woman,BC,2025-01-01,2025-12-31,1077.0,43560.44,0.0,0.0,0.0,0.0
EMP0096,Woman,BC,2025-01-01,2025-12-31,1980.0,120643.13,0.0,0.0,0.0,11986.48
EMP0097,Woman,BC,2025-01-01,2025-12-31,2008.0,55059.82,0.0,0.0,0.0,0.0
EMP0098,Woman,BC,2025-01-01,2025-12-31,2012.0,80969.96,0.0,0.0,0.0,0.0
EMP0099,Woman,BC,2025-01-01,2025-12-31,1793.0,102179.27,0.0,0.0,0.0,0.0
EMP0100,Woman,BC,2025-01-01,2025-12-31,1233.0,34437.95,0.0,98.0,4105.74,2142.63
EMP0101,Woman,BC,2025-01-01,2025-12-31,1914.0,107202.15,0.0,0.0,0.0,0.0
EMP0102,Woman,BC,2025-01-01,2025-12-31,1970.0,63419.85,0.0,0.0,0.0,0.0
EMP0103,Woman,BC,2025-01-01,2025-12-31,2072.0,110590.9,0.0,82.0,6565.0,11329.68
EMP0104,Woman,BC,2025-01-01,2025-12-31,1892.0,58870.55,0.0,0.0,0.0,0.0
EMP0105,Woman,BC,2025-01-01,2025-12-31,1057.0,39024.98,0.0,0.0,0.0,0.0
EMP0106,Woman,BC,2025-01-01,2025-12-31,1781.0,68532.82,0.0,0.0,0.0,5148.91
EMP0107,Woman,BC,2025-01-01,2025-12-31,2028.0,95076.54,0.0,0.0,0.0,9902.02
EMP0108,Woman,BC,2025-01-01,2025-12-31,981.0,46827.85,0.0,0.0,0.0,0.0
EMP0109,Woman,BC,2025-01-01,2025-12-31,1806.0,125796.44,0.0,0.0,0.0,0.0
EMP0110,Woman,BC,2025-01-01,2025-12-31,1857.0,103761.91,0.0,0.0,0.0,10388.38
EMP0111,Woman,BC,2025-01-01,2025-12-31,1983.0,85332.14,0.0,0.0,0.0,0.0
EMP0112,Woman,BC,2025-01-01,2025-12-31,2072.0,86286.85,0.0,0.0,0.0,0.0
EMP0113,Woman,BC,2025-01-01,2025-12-31,1989.0,108645.29,0.0,0.0,0.0,5596.64
EMP0114,Woman,BC,2025-01-01,2025-12-31,1901.0,101724.07,2276.0,0.0,0.0,2393.67
EMP0115,Woman,BC,2025-01-01,2025-12-31,1807.0,87522.27,0.0,0.0,0.0,0.0
EMP0116,Woman,BC,2025-01-01,2025-12-31,2076.0,95138.95,0.0,12.0,824.9,0.0
EMP0117,Woman,BC,2025-01-01,2025-12-31,1919.0,99429.7,0.0,0.0,0.0,3092.75
EMP0118,Woman,BC,2025-01-01,2025-12-31,1882.0,116341.99,0.0,0.0,0.0,12584.13
EMP0119,Woman,BC,2025-01-01,2025-12-31,2051.0,125118.16,0.0,0.0,0.0,0.0
EMP0120,Woman,BC,2025-01-01,2025-12-31,2009.0,65840.13,0.0,0.0,0.0,0.0
EMP0121,Woman,BC,2025-01-01,2025-12-31,2012.0,75563.45,0.0,0.0,0.0,4171.8
EMP0122,Woman,BC,2025-01-01,2025-12-31,1579.0,42907.54,712.0,0.0,0.0,0.0
EMP0123,Woman,BC,2025-01-01,2025-12-31,1482.0,49166.36,0.0,115.0,5722.81,0.0
EMP0124,Woman,BC,2025-01-01,2025-12-31,1991.0,62979.22,0.0,0.0,0.0,4841.78
EMP0125,Woman,BC,2025-01-01,2025-12-31,1985.0,54989.09,0.0,0.0,0.0,0.0
EMP0126,Woman,BC,2025-01-01,2025-12-31,2009.0,93221.66,0.0,0.0,0.0,11064.87
EMP0127,Woman,BC,2025-01-01,2025-12-31,1844.0,44624.9,0.0,0.0,0.0,0.0
EMP0128,Woman,BC,2025-01-01,2025-12-31,2011.0,86605.72,0.0,0.0,0.0,0.0
EMP0129,Woman,BC,2025-01-01,2025-12-31,1861.0,101131.21,1085.0,0.0,0.0,0.0
EMP0130,Woman,BC,2025-01-01,2025-12-31,2038.0,105420.44,0.0,0.0,0.0,12301.7
EMP0131,Woman,BC,2025-01-01,2025-12-31,2037.0,96709.2,0.0,0.0,0.0,0.0
EMP0132,Woman,BC,2025-01-01,2025-12-31,1966.0,70487.54,0.0,0.0,0.0,0.0
EMP0133,Woman,BC,2025-01-01,2025-12-31,1568.0,28443.33,0.0,0.0,0.0,0.0
EMP0134,Woman,BC,2025-01-01,2025-12-31,1938.0,61819.42,0.0,0.0,0.0,7094.95
EMP0135,Woman,BC,2025-01-01,2025-12-31,2051.0,81599.85,0.0,0.0,0.0,7814.62
EMP0136,Woman,BC,2025-01-01,2025-12-31,1069.0,28693.9,0.0,0.0,0.0,3136.06
EMP0137,Woman,BC,2025-01-01,2025-12-31,1792.0,54843.85,0.0,60.0,2754.43,0.0
EMP0138,Woman,BC,2025-01-01,2025-12-31,1810.0,64518.55,0.0,0.0,0.0,2257.01
EMP0139,Woman,BC,2025-01-01,2025-12-31,1896.0,93104.49,0.0,16.0,1178.54,4980.7
EMP0140,Woman,BC,2025-01-01,2025-12-31,1784.0,89098.01,0.0,0.0,0.0,4429.76
EMP0141,Woman,BC,2025-01-01,2025-12-31,1969.0,87629.8,0.0,0.0,0.0,0.0
EMP0142,Woman,BC,2025-01-01,2025-12-31,2072.0,66145.03,0.0,0.0,0.0,0.0
EMP0143,Woman,BC,2025-01-01,2025-12-31,1908.0,92796.92,0.0,48.0,3501.77,7781.06
EMP0144,Woman,BC,2025-01-01,2025-12-31,1796.0,108310.91,0.0,0.0,0.0,5619.47
EMP0145,Woman,BC,2025-01-01,2025-12-31,1866.0,91781.73,0.0,0.0,0.0,0.0
EMP0146,Woman,BC,2025-01-01,2025-12-31,1839.0,94055.47,0.0,0.0,0.0,0.0
EMP0147,Woman,BC,2025-01-01,2025-12-31,1998.0,106645.36,0.0,58.0,4643.72,11363.93
EMP0148,Woman,BC,2025-01-01,2025-12-31,1950.0,79032.23,0.0,43.0,2614.14,0.0
EMP0149,Woman,BC,2025-01-01,2025-12-31,1956.0,63321.6,0.0,76.0,3690.52,0.0
EMP0150,Woman,BC,2025-01-01,2025-12-31,1904.0,94890.19,0.0,0.0,0.0,4646.85
EMP0151,Woman,BC,2025-01-01,2025-12-31,1325.0,32836.85,0.0,0.0,0.0,0.0
EMP0152,Woman,BC,2025-01-01,2025-12-31,2013.0,124602.02,0.0,0.0,0.0,7465.56
EMP0153,Woman,BC,2025-01-01,2025-12-31,2003.0,111161.14,0.0,0.0,0.0,12348.52
EMP0154,Woman,BC,2025-01-01,2025-12-31,1787.0,104394.24,0.0,0.0,0.0,12103.44
EMP0155,Woman,BC,2025-01-01,2025-12-31,2013.0,80424.89,0.0,83.0,4974.12,6310.07
EMP0156,Woman,BC,2025-01-01,2025-12-31,1355.0,22098.67,0.0,0.0,0.0,0.0
EMP0157,Woman,BC,2025-01-01,2025-12-31,1792.0,104498.23,0.0,0.0,0.0,11995.84
EMP0158,Woman,BC,2025-01-01,2025-12-31,1456.0,57820.0,0.0,11.0,655.24,0.0
EMP0159,Woman,BC,2025-01-01,2025-12-31,2023.0,87440.97,0.0,22.0,1426.37,0.0
