employee_id,gender,province,reporting_period_start,reporting_period_end,hours_worked,ordinary_pay,special_salary,overtime_hours,overtime_pay,bonus_pay
EMP0001,Woman,BC,2025-01-01,2025-12-31,1856.0,91387.77,0.0,0.0,0.0,8981.3
EMP0002,Woman,BC,2025-01-01,2025-12-31,2009.0,67929.2,0.0,0.0,0.0,0.0
EMP0003,Woman,BC,2025-01-01,2025-12-31,1783.0,103043.48,0.0,0.0,0.0,4622.52
EMP0004,Woman,BC,2025-01-01,2025-12-31,2014.0,51294.36,0.0,0.0,0.0,0.0
EMP0005,Woman,BC,2025-01-01,2025-12-31,1237.0,41405.55,0.0,0.0,0.0,0.0
EMP0006,Woman,BC,2025-01-01,2025-12-31,1872.0,87187.19,0.0,0.0,0.0,8651.71
EMP0007,Woman,BC,2025-01-01,2025-12-31,2076.0,79283.97,0.0,0.0,0.0,0.0
EMP0008,Woman,BC,2025-01-01,2025-12-31,1969.0,45329.4,0.0,42.0,1450.36,0.0
EMP0009,Woman,BC,2025-01-01,2025-12-31,1410.0,36347.53,0.0,102.0,3944.09,0.0
EMP0010,Woman,BC,2025-01-01,2025-12-31,1983.0,101145.16,0.0,0.0,0.0,5176.05
EMP0011,Woman,BC,2025-01-01,2025-12-31,1944.0,80665.74,0.0,0.0,0.0,0.0
EMP0012,Woman,BC,2025-01-01,2025-12-31,1835.0,108331.91,0.0,0.0,0.0,12842.38
EMP0013,Woman,BC,2025-01-01,2025-12-31,1968.0,98296.51,0.0,0.0,0.0,0.0
EMP0014,Woman,BC,2025-01-01,2025-12-31,1793.0,100759.17,0.0,0.0,0.0,6687.75
EMP0015,Woman,BC,2025-01-01,2025-12-31,1859.0,82585.68,0.0,27.0,1799.2,5435.73
EMP0016,Woman,BC,2025-01-01,2025-12-31,2060.0,54348.81,0.0,84.0,3324.25,5050.17
EMP0017,Woman,BC,2025-01-01,2025-12-31,1793.0,82364.92,0.0,0.0,0.0,7517.97
EMP0018,Woman,BC,2025-01-01,2025-12-31,1793.0,81951.25,0.0,0.0,0.0,2465.47
EMP0019,Woman,BC,2025-01-01,2025-12-31,1435.0,51611.76,0.0,0.0,0.0,0.0
EMP0020,Woman,BC,2025-01-01,2025-12-31,2013.0,74419.51,0.0,0.0,0.0,6113.13
EMP0021,Woman,BC,2025-01-01,2025-12-31,1960.0,119071.6,0.0,0.0,0.0,0.0
EMP0022,Woman,BC,2025-01-01,2025-12-31,1916.0,121139.36,0.0,0.0,0.0,13071.48
EMP0023,Woman,BC,2025-01-01,2025-12-31,1858.0,68943.35,0.0,0.0,0.0,8004.82
EMP0024,Woman,BC,2025-01-01,2025-12-31,1792.0,84648.91,0.0,0.0,0.0,0.0
EMP0025,Woman,BC,2025-01-01,2025-12-31,2003.0,118040.83,0.0,0.0,0.0,13034.65
EMP0026,Woman,BC,2025-01-01,2025-12-31,1246.0,38650.8,0.0,90.0,4187.69,0.0
EMP0027,Woman,BC,2025-01-01,2025-12-31,1979.0,74245.88,0.0,68.0,3826.72,7798.63
EMP0028,Woman,BC,2025-01-01,2025-12-31,1097.0,63521.05,0.0,49.0,4255.97,3558.82
EMP0029,Woman,BC,2025-01-01,2025-12-31,1859.0,79304.01,0.0,0.0,0.0,7303.29
EMP0030,Woman,BC,2025-01-01,2025-12-31,2004.0,124335.43,0.0,0.0,0.0,0.0
EMP0031,Woman,BC,2025-01-01,2025-12-31,2067.0,99603.37,0.0,0.0,0.0,0.0
EMP0032,Woman,BC,2025-01-01,2025-12-31,1979.0,66235.62,0.0,0.0,0.0,7347.09
EMP0033,Woman,BC,2025-01-01,2025-12-31,1450.0,32627.41,0.0,0.0,0.0,0.0
EMP0034,Woman,BC,2025-01-01,2025-12-31,2074.0,63152.63,0.0,44.0,2009.68,0.0
EMP0035,Woman,BC,2025-01-01,2025-12-31,1869.0,121510.19,0.0,0.0,0.0,5349.88
EMP0036,Woman,BC,2025-01-01,2025-12-31,1517.0,33377.57,0.0,0.0,0.0,0.0
EMP0037,Woman,BC,2025-01-01,2025-12-31,1988.0,74321.54,0.0,11.0,616.85,0.0
EMP0038,Woman,BC,2025-01-01,2025-12-31,2059.0,68281.25,0.0,0.0,0.0,0.0
EMP0039,Woman,BC,2025-01-01,2025-12-31,2077.0,119558.69,0.0,0.0,0.0,13496.14
EMP0040,Woman,BC,2025-01-01,2025-12-31,1349.0,26951.64,0.0,87.0,2607.26,0.0
EMP0041,Woman,BC,2025-01-01,2025-12-31,1838.0,63231.96,0.0,0.0,0.0,0.0
EMP0042,Woman,BC,2025-01-01,2025-12-31,2028.0,102035.37,0.0,0.0,0.0,0.0
EMP0043,Woman,BC,2025-01-01,2025-12-31,1548.0,59525.47,0.0,0.0,0.0,0.0
EMP0044,Woman,BC,2025-01-01,2025-12-31,2079.0,99616.96,0.0,0.0,0.0,0.0
EMP0045,Woman,BC,2025-01-01,2025-12-31,1922.0,78055.48,0.0,0.0,0.0,0.0
EMP0046,Woman,BC,2025-01-01,2025-12-31,1821.0,79966.66,0.0,0.0,0.0,8514.96
EMP0047,Woman,BC,2025-01-01,2025-12-31,1945.0,97471.67,0.0,0.0,0.0,0.0
EMP0048,Woman,BC,2025-01-01,2025-12-31,1525.0,39220.41,0.0,0.0,0.0,0.0
EMP0049,Woman,BC,2025-01-01,2025-12-31,1806.0,83135.38,0.0,0.0,0.0,0.0
EMP0050,Woman,BC,2025-01-01,2025-12-31,1836.0,51686.42,0.0,27.0,1140.14,3582.38
EMP0051,Woman,BC,2025-01-01,2025-12-31,1864.0,109609.48,0.0,0.0,0.0,2429.46
EMP0052,Woman,BC,2025-01-01,2025-12-31,1944.0,88870.02,0.0,19.0,1302.88,0.0
EMP0053,Woman,BC,2025-01-01,2025-12-31,2060.0,85617.78,0.0,0.0,0.0,0.0
EMP0054,Woman,BC,2025-01-01,2025-12-31,1792.0,77918.34,0.0,0.0,0.0,0.0
EMP0055,Woman,BC,2025-01-01,2025-12-31,1824.0,123509.95,0.0,0.0,0.0,0.0
EMP0056,Woman,BC,2025-01-01,2025-12-31,1035.0,54194.11,0.0,0.0,0.0,0.0
EMP0057,Woman,BC,2025-01-01,2025-12-31,2042.0,118462.58,0.0,0.0,0.0,7691.1
EMP0058,Woman,BC,2025-01-01,2025-12-31,2074.0,83796.81,0.0,0.0,0.0,0.0
EMP0059,Woman,BC,2025-01-01,2025-12-31,2065.0,56182.73,0.0,0.0,0.0,0.0
EMP0060,Woman,BC,2025-01-01,2025-12-31,1791.0,116089.34,0.0,0.0,0.0,12239.72
EMP0061,Woman,BC,2025-01-01,2025-12-31,2005.0,95453.35,0.0,0.0,0.0,10241.21
EMP0062,Woman,BC,2025-01-01,2025-12-31,1819.0,102832.89,0.0,0.0,0.0,5778.04
EMP0063,Woman,BC,2025-01-01,2025-12-31,1894.0,78827.1,0.0,0.0,0.0,2164.88
EMP0064,Woman,BC,2025-01-01,2025-12-31,916.0,42958.12,0.0,0.0,0.0,2067.28
EMP0065,Woman,BC,2025-01-01,2025-12-31,1896.0,90399.51,0.0,0.0,0.0,0.0
EMP0066,Woman,BC,2025-01-01,2025-12-31,1919.0,91509.15,0.0,0.0,0.0,0.0
EMP0067,Woman,BC,2025-01-01,2025-12-31,1799.0,61902.15,0.0,0.0,0.0,1933.23
